<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
AAPL,0,20160125,093000,101.530000000,100
AAPL,0,20160125,093000,101.530000000,400
AAPL,0,20160125,093000,101.530000000,100
AAPL,0,20160125,093000,101.530000000,100
AAPL,0,20160125,093000,101.520000000,100
AAPL,0,20160125,093000,101.520000000,100
AAPL,0,20160125,093000,101.360000000,100
AAPL,0,20160125,093000,101.450000000,100
AAPL,0,20160125,093000,101.440000000,100
AAPL,0,20160125,093000,101.440000000,100
AAPL,0,20160125,093000,101.390000000,100
AAPL,0,20160125,093001,101.370000000,100
AAPL,0,20160125,093001,101.390000000,100
AAPL,0,20160125,093001,101.390000000,100
AAPL,0,20160125,093001,101.390000000,100
AAPL,0,20160125,093001,101.400000000,100
AAPL,0,20160125,093001,101.420000000,100
AAPL,0,20160125,093001,101.400000000,100
AAPL,0,20160125,093001,101.400000000,100
AAPL,0,20160125,093001,101.400000000,100
AAPL,0,20160125,093001,101.400000000,100
AAPL,0,20160125,093001,101.430000000,100
AAPL,0,20160125,093001,101.420000000,100
AAPL,0,20160125,093001,101.420000000,100
AAPL,0,20160125,093002,101.380000000,219
AAPL,0,20160125,093002,101.380000000,100
AAPL,0,20160125,093002,101.400000000,100
AAPL,0,20160125,093002,101.420000000,100
AAPL,0,20160125,093002,101.420000000,100
AAPL,0,20160125,093002,101.430000000,100
AAPL,0,20160125,093002,101.430000000,100
AAPL,0,20160125,093002,101.430000000,100
AAPL,0,20160125,093002,101.440000000,100
AAPL,0,20160125,093002,101.440000000,100
AAPL,0,20160125,093002,101.440000000,100
AAPL,0,20160125,093002,101.440000000,100
AAPL,0,20160125,093002,101.450000000,100
AAPL,0,20160125,093002,101.450000000,100
AAPL,0,20160125,093002,101.450000000,100
AAPL,0,20160125,093002,101.460000000,100
AAPL,0,20160125,093002,101.460000000,100
AAPL,0,20160125,093002,101.470000000,100
AAPL,0,20160125,093002,101.420000000,100
AAPL,0,20160125,093002,101.420000000,100
AAPL,0,20160125,093002,101.420000000,100
AAPL,0,20160125,093002,101.420000000,100
AAPL,0,20160125,093002,101.470000000,100
AAPL,0,20160125,093002,101.480000000,100
AAPL,0,20160125,093002,101.480000000,100
AAPL,0,20160125,093002,101.440000000,100
AAPL,0,20160125,093003,101.410000000,100
AAPL,0,20160125,093003,101.400000000,100
AAPL,0,20160125,093003,101.400000000,100
AAPL,0,20160125,093003,101.380000000,100
AAPL,0,20160125,093003,101.390000000,100
AAPL,0,20160125,093003,101.400000000,200
AAPL,0,20160125,093004,101.390000000,347
AAPL,0,20160125,093004,101.370000000,100
AAPL,0,20160125,093004,101.370000000,100
AAPL,0,20160125,093004,101.370000000,200
AAPL,0,20160125,093005,101.350000000,100
AAPL,0,20160125,093006,101.350000000,100
AAPL,0,20160125,093006,101.340000000,100
AAPL,0,20160125,093007,101.320000000,100
AAPL,0,20160125,093007,101.330000000,100
AAPL,0,20160125,093007,101.310000000,100
AAPL,0,20160125,093007,101.300000000,100
AAPL,0,20160125,093007,101.290000000,175
AAPL,0,20160125,093007,101.290000000,625
AAPL,0,20160125,093009,101.250000000,100
AAPL,0,20160125,093009,101.250000000,100
AAPL,0,20160125,093009,101.240000000,100
AAPL,0,20160125,093010,101.240000000,100
AAPL,0,20160125,093010,101.240000000,100
AAPL,0,20160125,093012,101.210000000,100
AAPL,0,20160125,093013,101.210000000,100
AAPL,0,20160125,093013,101.220000000,200
AAPL,0,20160125,093021,101.030000000,100
AAPL,0,20160125,093021,101.030000000,100
AAPL,0,20160125,093023,101.020000000,100
AAPL,0,20160125,093023,101.000000000,100
AAPL,0,20160125,093023,100.960000000,100
AAPL,0,20160125,093024,100.960000000,100
AAPL,0,20160125,093024,100.960000000,100
AAPL,0,20160125,093025,101.000000000,100
AAPL,0,20160125,093025,101.000000000,100
AAPL,0,20160125,093026,101.090000000,100
AAPL,0,20160125,093026,101.100000000,100
AAPL,0,20160125,093026,101.110000000,100
AAPL,0,20160125,093026,101.170000000,100
AAPL,0,20160125,093026,101.180000000,100
AAPL,0,20160125,093026,101.150000000,100
AAPL,0,20160125,093026,101.150000000,100
AAPL,0,20160125,093026,101.140000000,100
AAPL,0,20160125,093026,101.190000000,100
AAPL,0,20160125,093026,101.180000000,100
AAPL,0,20160125,093028,101.130000000,100
AAPL,0,20160125,093028,101.130000000,100
AAPL,0,20160125,093029,101.150000000,100
AAPL,0,20160125,093032,101.200000000,100
AAPL,0,20160125,093032,101.190000000,100
AAPL,0,20160125,093036,101.140000000,100
AAPL,0,20160125,093036,101.140000000,100
AAPL,0,20160125,093036,101.150000000,100
AAPL,0,20160125,093036,101.150000000,100
AAPL,0,20160125,093036,101.160000000,100
AAPL,0,20160125,093036,101.160000000,100
AAPL,0,20160125,093036,101.160000000,100
AAPL,0,20160125,093036,101.130000000,100
AAPL,0,20160125,093036,101.090000000,100
AAPL,0,20160125,093036,101.090000000,100
AAPL,0,20160125,093036,101.090000000,100
AAPL,0,20160125,093037,101.060000000,100
AAPL,0,20160125,093037,101.050000000,100
AAPL,0,20160125,093037,101.050000000,100
AAPL,0,20160125,093038,101.040000000,100
AAPL,0,20160125,093038,101.040000000,100
AAPL,0,20160125,093040,101.020000000,119
AAPL,0,20160125,093040,101.010000000,200
AAPL,0,20160125,093041,101.000000000,100
AAPL,0,20160125,093048,101.050000000,100
AAPL,0,20160125,093048,101.060000000,100
AAPL,0,20160125,093048,101.070000000,100
AAPL,0,20160125,093049,101.070000000,100
AAPL,0,20160125,093050,101.040000000,100
AAPL,0,20160125,093051,101.040000000,100
AAPL,0,20160125,093051,101.050000000,100
AAPL,0,20160125,093051,101.050000000,100
AAPL,0,20160125,093051,101.040000000,100
AAPL,0,20160125,093051,101.060000000,100
AAPL,0,20160125,093051,101.090000000,100
AAPL,0,20160125,093052,101.080000000,100
AAPL,0,20160125,093052,101.080000000,100
AAPL,0,20160125,093054,101.120000000,310
AAPL,0,20160125,093054,101.120000000,100
AAPL,0,20160125,093057,101.120000000,100
AAPL,0,20160125,093057,101.120000000,100
AAPL,0,20160125,093058,101.120000000,100
AAPL,0,20160125,093058,101.120000000,100
AAPL,0,20160125,093058,101.120000000,100
AAPL,0,20160125,093058,101.120000000,100
AAPL,0,20160125,093058,101.120000000,100
AAPL,0,20160125,093058,101.120000000,100
AAPL,0,20160125,093058,101.120000000,100
AAPL,0,20160125,093058,101.120000000,100
AAPL,0,20160125,093059,101.100000000,100
AAPL,0,20160125,093101,101.030000000,100
AAPL,0,20160125,093101,101.030000000,100
AAPL,0,20160125,093105,101.000000000,100
AAPL,0,20160125,093105,101.000000000,100
AAPL,0,20160125,093105,101.000000000,100
AAPL,0,20160125,093105,101.000000000,100
AAPL,0,20160125,093105,101.000000000,100
AAPL,0,20160125,093105,101.000000000,100
AAPL,0,20160125,093105,101.000000000,100
AAPL,0,20160125,093105,101.000000000,100
AAPL,0,20160125,093105,101.000000000,100
AAPL,0,20160125,093105,101.000000000,200
AAPL,0,20160125,093105,101.000000000,100
AAPL,0,20160125,093105,101.000000000,100
AAPL,0,20160125,093105,100.980000000,100
AAPL,0,20160125,093105,100.980000000,100
AAPL,0,20160125,093105,100.970000000,100
AAPL,0,20160125,093105,100.970000000,100
AAPL,0,20160125,093105,100.970000000,100
AAPL,0,20160125,093105,100.970000000,100
AAPL,0,20160125,093105,100.990000000,100
AAPL,0,20160125,093105,101.000000000,100
AAPL,0,20160125,093105,101.000000000,100
