<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
AAPL,0,20160126,093000,99.930000000,200
AAPL,0,20160126,093000,99.520000000,100
AAPL,0,20160126,093000,99.780000000,100
AAPL,0,20160126,093000,99.810000000,100
AAPL,0,20160126,093000,99.770000000,100
AAPL,0,20160126,093000,99.790000000,100
AAPL,0,20160126,093000,99.800000000,100
AAPL,0,20160126,093000,99.800000000,100
AAPL,0,20160126,093000,99.800000000,100
AAPL,0,20160126,093000,99.530000000,100
AAPL,0,20160126,093000,99.720000000,100
AAPL,0,20160126,093000,99.730000000,100
AAPL,0,20160126,093000,99.450000000,100
AAPL,0,20160126,093000,99.440000000,231
AAPL,0,20160126,093000,99.500000000,100
AAPL,0,20160126,093000,99.500000000,100
AAPL,0,20160126,093000,99.515000000,100
AAPL,0,20160126,093000,99.520000000,100
AAPL,0,20160126,093000,99.540000000,100
AAPL,0,20160126,093000,99.540000000,100
AAPL,0,20160126,093000,99.540000000,100
AAPL,0,20160126,093000,99.560000000,100
AAPL,0,20160126,093000,99.590000000,100
AAPL,0,20160126,093000,99.610000000,100
AAPL,0,20160126,093000,99.610000000,100
AAPL,0,20160126,093000,99.570000000,100
AAPL,0,20160126,093001,99.940000000,100
AAPL,0,20160126,093001,99.900000000,100
AAPL,0,20160126,093001,99.900000000,100
AAPL,0,20160126,093001,99.880000000,100
AAPL,0,20160126,093001,99.890000000,100
AAPL,0,20160126,093001,99.880000000,100
AAPL,0,20160126,093001,99.885000000,100
AAPL,0,20160126,093001,99.900000000,100
AAPL,0,20160126,093001,99.890000000,100
AAPL,0,20160126,093002,99.950000000,100
AAPL,0,20160126,093002,100.010000000,100
AAPL,0,20160126,093004,99.980000000,100
AAPL,0,20160126,093004,99.930000000,100
AAPL,0,20160126,093004,99.890000000,100
AAPL,0,20160126,093004,99.890000000,100
AAPL,0,20160126,093004,99.910000000,100
AAPL,0,20160126,093005,99.830000000,100
AAPL,0,20160126,093005,99.760000000,100
AAPL,0,20160126,093005,99.760000000,100
AAPL,0,20160126,093005,99.750000000,100
AAPL,0,20160126,093005,99.750000000,100
AAPL,0,20160126,093005,99.750000000,726
AAPL,0,20160126,093005,99.710000000,100
AAPL,0,20160126,093005,99.700000000,100
AAPL,0,20160126,093006,99.620000000,100
AAPL,0,20160126,093006,99.620000000,100
AAPL,0,20160126,093006,99.610000000,100
AAPL,0,20160126,093006,99.665000000,600
AAPL,0,20160126,093007,99.650000000,100
AAPL,0,20160126,093007,99.640000000,100
AAPL,0,20160126,093007,99.640000000,100
AAPL,0,20160126,093007,99.630000000,100
AAPL,0,20160126,093007,99.610000000,100
AAPL,0,20160126,093007,99.560000000,100
AAPL,0,20160126,093007,99.590000000,100
AAPL,0,20160126,093007,99.590000000,100
