<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
GAZP,0,20160126,095945,131.000000000,20
GAZP,0,20160126,095945,131.000000000,20
GAZP,0,20160126,095945,131.000000000,100
GAZP,0,20160126,095945,131.000000000,80
GAZP,0,20160126,095945,131.000000000,10000
GAZP,0,20160126,095945,131.000000000,3000
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,50
GAZP,0,20160126,095945,131.000000000,1000
GAZP,0,20160126,095945,131.000000000,1000
GAZP,0,20160126,095945,131.000000000,1000
GAZP,0,20160126,095945,131.000000000,50
GAZP,0,20160126,095945,131.000000000,20
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,600
GAZP,0,20160126,095945,131.000000000,100
GAZP,0,20160126,095945,131.000000000,640
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,7130
GAZP,0,20160126,095945,131.000000000,200
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,140
GAZP,0,20160126,095945,131.000000000,20
GAZP,0,20160126,095945,131.000000000,120
GAZP,0,20160126,095945,131.000000000,3000
GAZP,0,20160126,095945,131.000000000,2130
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,100
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,50
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,150
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,60
GAZP,0,20160126,095945,131.000000000,20
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,60
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,1000
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,60
GAZP,0,20160126,095945,131.000000000,1000
GAZP,0,20160126,095945,131.000000000,2500
GAZP,0,20160126,095945,131.000000000,60
GAZP,0,20160126,095945,131.000000000,640
GAZP,0,20160126,095945,131.000000000,34860
GAZP,0,20160126,095945,131.000000000,280
GAZP,0,20160126,095945,131.000000000,60
GAZP,0,20160126,095945,131.000000000,1000
GAZP,0,20160126,095945,131.000000000,500
GAZP,0,20160126,095945,131.000000000,540
GAZP,0,20160126,095945,131.000000000,150
GAZP,0,20160126,095945,131.000000000,1000
GAZP,0,20160126,095945,131.000000000,250
GAZP,0,20160126,095945,131.000000000,400
GAZP,0,20160126,095945,131.000000000,500
GAZP,0,20160126,095945,131.000000000,510
GAZP,0,20160126,095945,131.000000000,500
GAZP,0,20160126,095945,131.000000000,500
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,100
GAZP,0,20160126,095945,131.000000000,50
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,3000
GAZP,0,20160126,095945,131.000000000,55780
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,60
GAZP,0,20160126,095945,131.000000000,10
GAZP,0,20160126,095945,131.000000000,100
GAZP,0,20160126,095945,131.000000000,60
GAZP,0,20160126,095945,131.000000000,50
GAZP,0,20160126,095945,131.000000000,60
