<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
MMM,0,20160126,093000,141.790000000,100
MMM,0,20160126,093000,141.890000000,300
MMM,0,20160126,093000,141.790000000,100
MMM,0,20160126,093052,141.870000000,100
MMM,0,20160126,093057,141.830000000,100
MMM,0,20160126,093057,141.870000000,100
MMM,0,20160126,093057,141.880000000,100
MMM,0,20160126,093106,141.850000000,100
MMM,0,20160126,093111,141.935000000,100
MMM,0,20160126,093120,142.080000000,100
MMM,0,20160126,093120,142.080000000,100
MMM,0,20160126,093120,142.080000000,100
MMM,0,20160126,093120,142.105000000,100
MMM,0,20160126,093120,142.190000000,100
MMM,0,20160126,093121,142.200000000,100
MMM,0,20160126,093121,142.200000000,100
MMM,0,20160126,093121,142.210000000,100
MMM,0,20160126,093121,142.210000000,100
MMM,0,20160126,093122,142.250000000,100
MMM,0,20160126,093122,142.250000000,100
MMM,0,20160126,093122,142.300000000,100
MMM,0,20160126,093129,142.220000000,100
MMM,0,20160126,093129,142.210000000,100
MMM,0,20160126,093133,142.350000000,100
MMM,0,20160126,093143,141.710000000,100
MMM,0,20160126,093143,141.720000000,100
MMM,0,20160126,093143,141.740000000,100
MMM,0,20160126,093143,141.750000000,100
MMM,0,20160126,093146,141.960000000,100
MMM,0,20160126,093146,141.970000000,100
MMM,0,20160126,093146,141.970000000,100
MMM,0,20160126,093146,141.970000000,100
MMM,0,20160126,093146,141.980000000,100
MMM,0,20160126,093146,141.980000000,100
MMM,0,20160126,093207,141.970000000,100
MMM,0,20160126,093220,141.600000000,100
MMM,0,20160126,093238,141.030000000,100
MMM,0,20160126,093238,141.030000000,100
MMM,0,20160126,093238,141.030000000,100
MMM,0,20160126,093238,141.030000000,900
MMM,0,20160126,093238,141.030000000,100
MMM,0,20160126,093239,141.040000000,100
MMM,0,20160126,093251,140.710000000,100
MMM,0,20160126,093254,140.780000000,100
MMM,0,20160126,093302,140.510000000,100
MMM,0,20160126,093304,140.450000000,100
MMM,0,20160126,093309,140.530000000,100
MMM,0,20160126,093309,140.530000000,100
MMM,0,20160126,093309,140.530000000,100
MMM,0,20160126,093317,140.510000000,100
MMM,0,20160126,093317,140.510000000,100
MMM,0,20160126,093317,140.550000000,100
MMM,0,20160126,093318,140.550000000,100
MMM,0,20160126,093318,140.550000000,100
MMM,0,20160126,093318,140.550000000,100
MMM,0,20160126,093318,140.550000000,100
MMM,0,20160126,093320,140.550000000,100
MMM,0,20160126,093323,140.550000000,100
MMM,0,20160126,093323,140.550000000,100
MMM,0,20160126,093323,140.550000000,100
MMM,0,20160126,093323,140.550000000,100
MMM,0,20160126,093323,140.550000000,100
MMM,0,20160126,093323,140.550000000,100
MMM,0,20160126,093323,140.550000000,100
MMM,0,20160126,093325,140.660000000,115
MMM,0,20160126,093328,140.980000000,100
MMM,0,20160126,093330,140.960000000,100
MMM,0,20160126,093342,141.210000000,100
MMM,0,20160126,093400,141.410000000,100
MMM,0,20160126,093400,141.410000000,100
MMM,0,20160126,093400,141.410000000,100
MMM,0,20160126,093400,141.410000000,201
MMM,0,20160126,093400,141.410000000,100
MMM,0,20160126,093400,141.410000000,100
MMM,0,20160126,093401,141.470000000,100
MMM,0,20160126,093401,141.470000000,100
MMM,0,20160126,093401,141.470000000,100
MMM,0,20160126,093401,141.470000000,100
MMM,0,20160126,093401,141.470000000,100
MMM,0,20160126,093437,142.010000000,195
MMM,0,20160126,093449,141.870000000,100
MMM,0,20160126,093449,141.870000000,100
MMM,0,20160126,093450,141.930000000,100
MMM,0,20160126,093450,141.960000000,100
MMM,0,20160126,093450,141.960000000,100
MMM,0,20160126,093450,141.960000000,100
MMM,0,20160126,093450,141.960000000,100
MMM,0,20160126,093450,141.960000000,100
MMM,0,20160126,093510,142.250000000,100
MMM,0,20160126,093512,142.250000000,404
MMM,0,20160126,093512,142.250000000,196
MMM,0,20160126,093512,142.250000000,100
MMM,0,20160126,093515,142.370000000,100
MMM,0,20160126,093517,142.460000000,100
MMM,0,20160126,093517,142.480000000,100
MMM,0,20160126,093517,142.500000000,200
MMM,0,20160126,093521,142.610000000,100
MMM,0,20160126,093522,142.700000000,100
MMM,0,20160126,093526,142.780000000,100
MMM,0,20160126,093527,142.880000000,100
MMM,0,20160126,093527,142.880000000,100
MMM,0,20160126,093539,142.880000000,100
MMM,0,20160126,093539,142.880000000,100
MMM,0,20160126,093552,142.540000000,100
MMM,0,20160126,093552,142.545000000,100
MMM,0,20160126,093555,142.545000000,100
MMM,0,20160126,093609,142.880000000,100
MMM,0,20160126,093609,142.900000000,100
MMM,0,20160126,093631,142.860000000,100
MMM,0,20160126,093631,142.850000000,100
MMM,0,20160126,093631,142.850000000,100
MMM,0,20160126,093632,142.870000000,100
MMM,0,20160126,093636,142.980000000,100
MMM,0,20160126,093637,143.160000000,100
MMM,0,20160126,093637,143.160000000,100
MMM,0,20160126,093647,143.000000000,100
MMM,0,20160126,093701,142.680000000,100
MMM,0,20160126,093701,142.670000000,100
MMM,0,20160126,093703,142.680000000,100
MMM,0,20160126,093719,142.830000000,300
MMM,0,20160126,093738,142.780000000,100
MMM,0,20160126,093738,142.770000000,100
MMM,0,20160126,093738,142.740000000,100
MMM,0,20160126,093738,142.740000000,100
MMM,0,20160126,093810,142.700000000,100
MMM,0,20160126,093821,142.960000000,100
MMM,0,20160126,093822,142.970000000,100
MMM,0,20160126,093822,142.970000000,100
MMM,0,20160126,093831,143.180000000,200
MMM,0,20160126,093836,143.060000000,100
MMM,0,20160126,093845,143.270000000,100
MMM,0,20160126,093845,143.270000000,100
MMM,0,20160126,093845,143.240000000,100
MMM,0,20160126,093845,143.220000000,100
MMM,0,20160126,093845,143.220000000,100
MMM,0,20160126,093855,143.170000000,100
MMM,0,20160126,093906,143.270000000,100
MMM,0,20160126,093921,143.200000000,100
MMM,0,20160126,093921,143.200000000,100
MMM,0,20160126,093921,143.200000000,100
MMM,0,20160126,093945,143.060000000,100
MMM,0,20160126,093951,143.370000000,100
MMM,0,20160126,093953,143.330000000,100
MMM,0,20160126,093956,143.470000000,165
MMM,0,20160126,094002,143.460000000,100
MMM,0,20160126,094002,143.450000000,100
MMM,0,20160126,094002,143.450000000,114
